year,value,variable
1936,0.327,Pig
1937,0.2452,Pig
1938,0.2725,Pig
1939,0.5722,Pig
1940,0.7357,Pig
1941,0.6812,Pig
1942,0.8447,Pig
1943,0.9809,Pig
1944,0.6267,Pig
1945,0.436,Pig
1946,0.3815,Pig
1947,0.436,Pig
1948,0.2725,Pig
1949,0.3815,Pig
1950,0.327,Pig
1951,0.4905,Pig
1952,0.5177,Pig
1953,0.2997,Pig
1954,0.3815,Pig
1955,0.4632,Pig
1956,0.4087,Pig
1957,0.436,Pig
1958,0.7084,Pig
1959,0.7084,Pig
1960,0.4632,Pig
1961,0.5995,Pig
1962,0.436,Pig
1963,0.5722,Pig
1964,0.654,Pig
1965,0.5995,Pig
1966,0.7357,Pig
1967,0.8447,Pig
1968,0.7629,Pig
1969,1.0354,Pig
1970,1.3624,Pig
1971,1.2262,Pig
1972,1.2807,Pig
1973,1.2807,Pig
1974,1.0627,Pig
1975,0.8447,Pig
1976,0.8992,Pig
1977,0.9264,Pig
1978,0.9809,Pig
1979,1.2262,Pig
1980,1.2534,Pig
1981,1.2262,Pig
1982,1.2534,Pig
1983,1.4169,Pig
1984,1.6349,Pig
1985,1.7166,Pig
1986,1.7984,Pig
1987,2.0163,Pig
1988,2.1253,Pig
1989,2.0708,Pig
1990,1.9891,Pig
1991,2.1798,Pig
1992,2.3161,Pig
1993,2.3706,Pig
1994,2.5341,Pig
1995,2.9973,Pig
1996,3.1608,Pig
1997,3.515,Pig
1998,4.0327,Pig
1999,5.0409,Pig
2000,5.3951,Pig
2001,6.3488,Pig
2002,6.6213,Pig
2003,7.4932,Pig
2004,8.2834,Pig
2005,8.9646,Pig
2006,9.1008,Pig
2007,9.4278,Pig
2008,9.1281,Pig
2009,8.8283,Pig
2010,8.0109,Pig
1959.9,19.9,Fert
1961.0,26.5,Fert
1962.0,36.5,Fert
1963.0,46.4,Fert
1964.0,56.4,Fert
1965.0,69.6,Fert
1966.0,142.5,Fert
1967.0,169.1,Fert
1968.0,218.8,Fert
1969.0,129.3,Fert
1970.0,126.0,Fert
1971.0,179.0,Fert
1972.1,198.9,Fert
1973.1,278.5,Fert
1974.0,331.5,Fert
1975.0,348.1,Fert
1976.0,374.6,Fert
1977.0,371.3,Fert
1978.0,457.5,Fert
1979.0,543.6,Fert
1980.0,547.0,Fert
1981.0,517.1,Fert
1982.0,523.8,Fert
1983.1,503.9,Fert
1984.0,590.1,Fert
1985.0,676.2,Fert
1986.0,666.3,Fert
1987.0,619.9,Fert
1988.1,702.8,Fert
1989.0,633.1,Fert
1990.1,659.7,Fert
1991.0,702.8,Fert
1992.0,699.4,Fert
1993.0,749.2,Fert
1994.0,818.8,Fert
1995.0,845.3,Fert
1996.0,835.4,Fert
1997.1,905.0,Fert
1998.1,968.0,Fert
1999.0,914.9,Fert
2000.1,918.2,Fert
2001.0,838.7,Fert
2001.9,865.2,Fert
2003.0,1004.4,Fert
2004.0,944.8,Fert
2005.1,842.0,Fert
2006.0,1040.9,Fert
2007.0,974.6,Fert
2008.1,921.5,Fert
1892.6,198.6,Cow
1893.7,205.8,Cow
1894.9,214.5,Cow
1896.0,224.9,Cow
1897.1,238.6,Cow
1898.3,238.1,Cow
1899.4,244.4,Cow
1900.3,278.4,Cow
1901.1,329.9,Cow
1902.2,308.9,Cow
1903.4,325.2,Cow
1904.5,329.7,Cow
1905.2,362.2,Cow
1905.6,413.4,Cow
1905.7,450.9,Cow
1905.9,487.4,Cow
1906.4,525.8,Cow
1907.5,530.8,Cow
1908.6,510.2,Cow
1909.8,477.7,Cow
1910.9,450.6,Cow
1912.0,467.5,Cow
1913.2,494.0,Cow
1914.3,525.5,Cow
1915.4,556.5,Cow
1916.6,562.6,Cow
1917.5,620.4,Cow
1918.0,671.9,Cow
1919.0,666.6,Cow
1919.9,643.2,Cow
1921.1,668.8,Cow
1922.2,665.5,Cow
1923.3,646.2,Cow
1924.5,634.3,Cow
1925.6,621.9,Cow
1926.7,599.9,Cow
1927.9,587.5,Cow
1928.9,610.3,Cow
1929.7,647.7,Cow
1930.5,674.9,Cow
1931.2,710.7,Cow
1931.8,746.4,Cow
1932.6,789.3,Cow
1933.7,790.7,Cow
1934.8,760.5,Cow
1935.8,765.9,Cow
1936.3,804.3,Cow
1937.1,824.9,Cow
1937.9,786.6,Cow
1938.7,758.1,Cow
1939.8,734.7,Cow
1940.7,729.4,Cow
1941.5,767.9,Cow
1942.6,795.4,Cow
1943.7,828.2,Cow
1944.8,832.3,Cow
1946.0,797.5,Cow
1947.1,794.2,Cow
1948.0,782.5,Cow
1948.8,750.9,Cow
1949.4,719.2,Cow
1950.5,695.7,Cow
1951.3,729.6,Cow
1952.0,763.1,Cow
1953.0,794.9,Cow
1954.1,819.1,Cow
1955.0,853.5,Cow
1956.0,887.1,Cow
1957.1,884.8,Cow
1958.2,899.4,Cow
1959.3,931.8,Cow
1959.8,967.4,Cow
1960.5,997.6,Cow
1961.6,1003.0,Cow
1962.1,1043.2,Cow
1962.6,1083.0,Cow
1963.0,1124.1,Cow
1963.7,1165.6,Cow
1964.7,1176.2,Cow
1965.6,1139.1,Cow
1966.3,1100.4,Cow
1966.8,1065.9,Cow
1967.5,1035.2,Cow
1968.5,1031.5,Cow
1969.0,1067.6,Cow
1969.3,1101.2,Cow
1969.9,1131.4,Cow
1970.7,1164.9,Cow
1971.2,1196.9,Cow
1971.8,1232.8,Cow
1972.5,1266.4,Cow
1972.8,1303.9,Cow
1973.1,1343.2,Cow
1973.4,1391.2,Cow
1974.1,1427.6,Cow
1975.0,1401.3,Cow
1975.5,1378.1,Cow
1976.2,1355.4,Cow
1976.7,1319.7,Cow
1977.1,1286.1,Cow
1977.7,1257.4,Cow
1978.8,1230.4,Cow
1979.6,1195.6,Cow
1980.5,1165.4,Cow
1981.6,1150.3,Cow
1982.7,1131.5,Cow
1983.9,1122.7,Cow
1985.0,1097.5,Cow
1986.1,1073.2,Cow
1987.3,1078.2,Cow
1988.4,1079.1,Cow
1989.5,1080.8,Cow
1990.5,1114.1,Cow
1991.0,1151.0,Cow
1991.8,1177.7,Cow
1992.6,1210.6,Cow
1993.0,1235.3,Cow
1993.6,1294.2,Cow
1994.1,1344.5,Cow
1994.6,1386.1,Cow
1995.2,1428.1,Cow
1996.3,1451.9,Cow
1997.3,1437.4,Cow
1998.2,1407.0,Cow
1999.3,1414.2,Cow
2000.4,1447.8,Cow
