Sample Type,Date,Location,d13C,d15N,CN,Type
POM,2010-07-23,L979EIF,-27.8695255232,0.9628076472,14.9373183947,Stream
POM,2010-07-23,L302 Uplands,-25.4636364613,-3.3491125925,14.1708776803,Stream
POM,2010-07-26,L470OF,-29.4635740341,-2.2133494157,16.6086767999,Stream
POM,2010-07-27,L114 Cliff INF,-25.7321850345,1.9380422508,16.0175266082,Stream
POM,2010-07-22,L442 ,-29.8846150962,0.80629853,18.0358725544,Lake
POM,2010-07-27,L114 ,-22.9439928298,-4.4623192797,14.961861133,Lake
POM,2010-07-22,L239,-29.7009012512,-0.5077330812,14.6824492765,Lake
POM,2010-07-26,L303,-33.3370291625,-0.7061819877,18.9706914852,Lake
POM,2010-07-23,L979,-28.0995483082,-2.2365768628,12.7619274623,Lake
POM,2010-07-22,L626 ,-26.6918604165,0.7606052468,16.8320272555,Lake
POM,2010-07-26,L304,-32.0704454013,1.0495522268,15.8052219324,Lake
POM,2010-07-26,L373,-29.4657938541,-1.03210168,18.2370362606,Lake
POM,2010-07-28,L658,-29.5077836013,1.94793218,14.7261568084,Lake
POM,2010-07-27,L227 0m,-28.0046329661,0.0167179483,10.9591346792,Lake
DOM,2010-07-23,L979EIF,-27.9978358117,-1.4936302114,47.383170356,Stream
DOM,2010-07-23,L302 Uplands,-27.1253392969,-1.7583380209,59.8281247101,Stream
DOM,2010-07-26,L470OF,-27.7955352007,-1.2541417927,43.7969394854,Stream
DOM,2010-07-27,L114 Cliff INF,-26.9061757193,-2.3050941998,57.3787659831,Stream
DOM,2010-07-27,L114 ,-24.4634953436,-2.1975627534,29.4365025717,Lake
DOM,2010-07-22,L239,-27.1468840522,-1.4590220031,35.1913420553,Lake
DOM,2010-07-26,L303,-28.2265335511,-1.4310052679,33.3831659934,Lake
DOM,2010-07-23,L979,-27.7089787408,-2.9732415142,38.0395931674,Lake
DOM,2010-07-22,L626 ,-26.8257028138,-0.6596619625,26.093134647,Lake
DOM,2010-07-26,L304,-28.1634258999,-2.5626026881,38.4508659169,Lake
DOM,2010-07-26,L373,-27.2182159165,-4.6420657029,23.4449790115,Lake
DOM,2010-07-28,L658,-27.2864926221,-1.4035396043,38.0517829575,Lake
Zoos,2010-07-27,L114 ,-22.6881643178,4.2112895,5.7582639984,Lake
Zoos,2010-07-22,L239,-32.4210624528,3.1365859112,5.935578529,Lake
Zoos,2010-07-26,L303,-32.9605578898,2.5275749032,6.0035827821,Lake
Zoos,2010-07-22,L626 ,-30.2730469458,5.1921764,5.9812626168,Lake
Zoos,2010-07-26,L304,-31.19701442,4.8601171792,5.5387245771,Lake
Zoos,2010-07-26,L373,-35.628963305,5.9539045672,7.4612064976,Lake
Zoos,,L375,-35.4147895298,5.6228948032,7.836689975,Lake
DOM,2001-06-19,L114IF DOM,-26.85,-3.85,56.3359373604,Stream
DOM,2001-06-19,L114IF DOM,-27.24,-3.48,50.4103439107,Stream
DOM,2001-06-28,L114IF DOM,-26.79,-2.71,53.9570719798,Stream
DOM,2001-06-28,L114IF DOM,-27.06,-2.13,49.3817719338,Stream
DOM,2001-07-17,L114IF DOM,-26.76,-2.36,55.0158399072,Stream
DOM,2001-07-17,L114IF DOM,-27.16,-1.93,50.4721155975,Stream
DOM,2002-06-01,L114IF DOM,-26.23,-3.36,35.4027576777,Stream
DOM,2002-06-01,L114IF DOM,-26.38,-3.54,37.2463517264,Stream
DOM,2002-06-11,L114IF DOM,-26.9,-0.8,67.1714737726,Stream
DOM,2002-06-11,L114IF DOM,-26.83,-0.42,62.8888507618,Stream
DOM,2002-06-11,L114IF DOM,-27.02,-0.48,63.2542463159,Stream
DOM,2002-09-01,L114IF DOM,-26.83,-1.03,56.5256358305,Stream
DOM,2002-09-01,L114IF DOM,-26.96,-0.5,55.3998625993,Stream
DOM,2002-09-05,L114IF DOM,-26.88,-1.69,60.284019158,Stream
DOM,2002-09-05,L114IF DOM,-27.11,-1.02,56.8203379884,Stream
DOM,2003-06-25,L114IF DOM,-26.95,3.12,54.8133063857,Stream
DOM,2003-06-25,L114IF DOM,-27.04,2.78,55.4815877602,Stream
POM,2000-07-07,L114IF POM,-24.4,2.87,6.0242600015,Stream
POM,2000-07-24,L114IF POM,-23.48,5.09,10.7302258429,Stream
