StartDate,EndDate,Precipitation,NO3,NH4,d15NNO3,d18ONO3,d15NNH4
2010-06-03,2010-06-10,37.8,0.08,0.09,-5.251,68.862,-20.84
2010-06-17,2010-06-30,40.6,0.25,0.24,-2.94,64.783,-9.63
2010-06-27,2010-07-14,103.8,0.19,0.25,-1.284,63.747,-6.93
2010-07-15,2010-07-26,86.4,0.13,0.43,-3.176,64.464,-1.91
2010-07-26,2010-08-06,49.4,0.14,0.26,-2.902,63.022,-3.94
2010-08-23,2010-09-13,58.8,0.22,0.13,-4.964,69.088,-15
2010-09-13,2010-09-27,63.2,0.07,0.12,-6.101,74.375,-6.83
2011-05-30,2011-06-06,21.4,0.49,0.79,-12.03,63.025,-10.9
2011-06-06,2011-06-08,19.2,0.41,0.88,-8.245,67.55,-13.7
2011-06-08,2011-06-19,21.2,0.32,0.34,-6.05,67.74,-12.35
2011-06-19,2011-06-27,47.8,0.12,0.04,-2.395,63.845,
2011-06-27,2011-07-04,45.2,0.25,0.48,-6.78,65.5,-3
2011-07-04,2011-07-05,59.8,0.24,0.49,-8.37,63.77,-14
2011-07-05,2011-07-12,11.6,0.21,0.25,-6.415,66.94,-13.55
2011-07-12,2011-07-21,36.2,0.24,0.31,-5.175,66.995,-1.25
2011-07-22,2011-08-02,30.2,0.16,0.08,-4.845,66.72,
2011-08-02,2011-08-18,22.5,0.41,0.4,-3.93,66.53,1.1
2011-08-18,2011-08-31,13.8,0.26,0.23,-0.885,64.46,-19.4
2011-08-31,2011-09-08,15.6,0.47,0.67,-5.155,67.565,-4.6
2011-09-08,2011-09-21,59.5,0.15,0.2,-7.18,70.115,-1.55
2011-09-21,2011-10-13,14.4,0.23,0.6,-4.74,72.63,-1.05
2011-10-13,2011-10-25,15.1,0.2,0.23,-3.135,73.865,-13.85
2011-11-17,2012-01-04,32.5,0.33,0.2,1.025,76.815,-17.1
2012-01-04,2012-02-08,32.6,0.34,0.11,-0.185,81.515,
2012-02-08,2012-03-01,28,0.43,0.39,-1.22,78.38,-7.05
2012-03-01,2012-03-21,21.1,0.26,0.23,-3.94,74.15,-19.85
1996-07-17,,,0.24,,-3.6,62,
1996-08-03,,,0.32,,-4.59,62.79,
1996-08-03,,,0.31,,-4.32,63.03,
1996-08-13,,,0.23,,-4.09,68.65,
1996-09-02,,,0.52,,-2.5,69.93,
1996-05-18,,,0.11,,3.58,67.11,
1996-08-13,,,0.09,,-3.55,69.79,
1996-06-06,,,0.09,,-4.79,71.58,
1996-06-20,,,0.23,,-4.27,69.86,
1996-07-06,,,0.11,,6.16,65.8,
1996-07-17,,,0.07,,-3.13,62.05,
1996-08-03,,,0.15,,-3.31,65.16,
1996-08-03,,,0.13,,-3.4,65.67,
1996-09-02,,,0.42,,-2.48,72.98,
1996-09-27,,,0.09,,-1.48,74.94,
1996-09-27,,,0.05,,-1.13,73.69,
