Site,d15NNH4
Literature,-21.971
Literature,-15.775
Literature,-13.902
Literature,-13.542
Literature,-13.182
Literature,-12.822
Literature,-12.533
Literature,-12.245
Literature,-11.309
Literature,-10.228
Literature,-9.94
Literature,-9.724
Literature,-9.22
Literature,-8.932
Literature,-8.499
Literature,-7.995
Literature,-7.635
Literature,-7.203
Literature,-6.482
Literature,-6.122
Literature,-5.762
Literature,-5.33
Literature,-4.825
Literature,-4.393
Literature,-4.033
Literature,-3.601
Literature,-3.24
Literature,-2.808
Literature,-2.592
Literature,-2.304
Literature,-1.656
Literature,-1.223
Literature,-0.575
Literature,-0.791
Literature,0.073
Literature,-0.071
Literature,-0.503
Literature,0.722
Literature,-18.225
Literature,-18.441
Literature,3.747
Literature,5.62
ELA,-20.84
ELA,-9.63
ELA,-6.93
ELA,-1.91
ELA,-3.94
ELA,-15
ELA,-6.83
ELA,-10.9
ELA,-13.7
ELA,-12.35
ELA,-3
ELA,-14
ELA,-13.55
ELA,-1.25
ELA,1.1
ELA,-19.4
ELA,-4.6
ELA,-1.55
ELA,-1.05
ELA,-13.85
ELA,-17.1
ELA,-7.05
ELA,-19.85
